#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Freerange,Notes,Link,,,,,,,
119,2/21,toxoplasma AND cat AND shedding,WoS,Genotyping of Toxoplasma gondii isolates from chickens from India,2003,India,Asia,,Y,N,Y,23,5,21.74,"II, III",TgCInd3 to 7,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/abs/pii/S0304401703004515,,,,,,,
100,2/21,toxoplasma AND cat AND shedding,WoS,Toxoplasma gondii isolates from free-ranging chickens from the United States,2003,USA,North America,,Y,N,Y,11,8,72.73,"II, III",,11,Y,Cat bioassay,N,,https://naldc.nal.usda.gov/download/21433/PDF,,,,,,,
36,2/16,toxoplasma AND cat AND shedding,Pubmed,"Toxoplasma gondii isolates of free-ranging chickens from Rio de Janeiro, Brazil: mouse mortality, genotype, and oocyst shedding by cats",2003,Brazil,South America,,Y,N,Y,13,13,100.00,"I, III",,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/14533703,,,,,,167,52
130,2/21,toxoplasma AND cat AND shedding,WoS,"Characterization of Toxoplasma gondii isolates from free range chickens from Parana, Brazil",2003,Brazil,South America,,Y,N,Y,4,3,75.00,I,,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401703003558,,,,,,,
136,2/21,toxoplasma AND cat AND shedding,WoS,"High prevalence of Toxoplasma gondii in a commercial flock of chickens in Israel, and public health implications of free-range farming",2004,Israel,Asia,,Y,N,Y,2,2,100.00,"II, III",,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401704001062,,,,,,,
70,2/16,toxoplasma AND cat AND shedding,Pubmed,Effect of commonly used enhancement solutions on the viability of Toxoplasma gondii tissue cysts in pork loin,2004,USA,North America,,Y,N,N,64,26,40.63,III,VEG,1.5,Y,Cat bioassay,N,,https://watermark.silverchair.com/0362-028x-67_10_2230.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAokwggKFBgkqhkiG9w0BBwagggJ2MIICcgIBADCCAmsGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMbWI13r-52ikMPXcJAgEQgIICPDB4nbgy6NfiqT1gEujFV9euh1k-MsEBhWsXa7HpFAoyMgLpL77z-DHUK74sJJcavfyrFFf5nom2Nvg4TPdj_GFidn01uf4z66W2ockDmHZfShE8GSNqc5RNA2tYSbJ_YTmxrbIdsGb3ACRzRKiFEQTsgNGIOkIv7cDqLWninCO3CxCEvWJ0QGJMX2I4IU7qEKI08J8n5uZMmyoo3al7bPPXHRlRt5WP2eJQ9PnwJ69HAhHovuU1fe-Eg4kDD2S3AOtB4CX7BVYVmHz9QSP8yRDgXNtsHMmNvhCFbRD5JSZEfOvLNGQFksYcaAbCaL431LnAcU5T0hqaiiCjzTeVTonZ_CZO6q3QpykNOFBqMZon22nnK7KcxbUCq5sFmXji9vn06p06cmdYTzSt7p66b3WTPmDBk916TJoRUFlb5V6Duwdb0ibJdwaZnHJht5KXfjheuoFaSV3S4fceizDYqOLudrRIX9HA07G7KVQXJba0kwJQgHOCNznZMo1ROfpLvvyoodZICOHX80vcH4eTi-qL1AAbxecl07Y-oqu2lmFS4iG2v1PCtUnNCsopB7M095hbDbzBayfpLe4XadCIA5BO_sV8fIe7nBWLm7DL4E_s543-g9K0R7l9QT7P7w2cyWA-hrMMeEygfNXul5r3OSwRMcG1nYCceLjeqdj-5_ZkJ-9PPfxzWMmvKQ4HxzdSBZ6kKM8BoPcOofdGshVCOTUzB9o-cI_lbbrLg1o_vbIZQ3QsDqSPe4YrzuKc,,,,,,,
365,2/28,"toxoplasma, felid, genotype",Pubmed,Molecular and biologic characteristics of Toxoplasma gondii isolates from wildlife in the United States,2004,USA,North America,,Y,N,Y,10,7,70.00,"III, II, II+III",,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-90/issue-1/GE-110R/MOLECULAR-AND-BIOLOGIC-CHARACTERISTICS-OF-TOXOPLASMA-GONDII-ISOLATES-FROM-WILDLIFE/10.1645/GE-110R.full#i0022-3395-90-1-67-t02,,,,,,,
1008,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Experimental Toxoplasma gondii infection in grey seals (Halichoerus grypus),2004,USA,North America,,Y,N,N,4,4,100.00,III,VEG,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/15165046,,,,,,,
109,2/21,toxoplasma AND cat AND shedding,WoS,Isolation and molecular characterization of Toxoplasma gondii from chickens from Sri Lanka,2005,Sri Lanka,Asia,,Y,N,Y,3,1,33.33,II,TgCkSl-12,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-91/issue-6/GE-479R.1/Isolation-and-Molecular-Characterization-of-Toxoplasma-gondii-From-Chickens-From/10.1645/GE-479R.1.full,,,,,,,
132,2/21,toxoplasma AND cat AND shedding,WoS,Genetic and biologic characteristics of Toxoplasma gondii infections in free-range chickens from Austria,2005,Austria,Europe,,Y,N,Y,15,11,73.33,II,TgCkAt 1-11,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S030440170500302X,,,,,,,
42,2/16,toxoplasma AND cat AND shedding,Pubmed,"Prevalence of viable Toxoplasma gondii in beef, chicken, and pork from retail meat stores in the United States: risk assessment to consumers",2005,USA,North America,,Y,N,Y,7,7,100.00,"I, II, III","SAG2 type I, II, III",0.5,Y,Cat bioassay,N,,https://doi.org/10.1645/GE-683.1,,,,,,"I, II (1), III (2)",147
141,2/21,toxoplasma AND cat AND shedding,WoS,"Toxoplasma gondii infections in chickens from Venezuela: Isolation, tissue distribution, and molecular characterization",2005,Venezuela,South America,,Y,N,Y,18,7,38.89,"II, III",,,Y,Cat bioassay,N,sample size?,https://bioone.org/journals/Journal-of-Parasitology/volume-91/issue-5/GE-683.1/PREVALENCE-OF-VIABLE-TOXOPLASMA-GONDII-IN-BEEF-CHICKEN-AND-PORK/10.1645/GE-683.1.full,,,,,,,
378,2/28,"toxoplasma, felid, genotype",Pubmed,"Genetic and biologic characteristics of Toxoplasma gondii isolates in free-range chickens from Colombia, South America",2005,Colombia,South America,,Y,N,Y,3,1,33.33,I variant,TgCkCo24,,Y,Cat bioassay,Y,,https://www.sciencedirect.com/science/article/pii/S0304401705003651?via%3Dihub,,,,,,,
59,2/16,toxoplasma AND cat AND shedding,Pubmed,Effects of time and temperature on the viability of Toxoplasma gondii tissue cysts in enhanced pork loin,2006,USA,North America,,Y,N,N,10,10,100.00,III,VEG,0.5,Y,Cat bioassay,N,cats fed pork,https://meridian.allenpress.com/jfp/article-lookup/doi/10.4315/0362-028x-69.8.1961,,,,,,"3, 4, 54, 72, 73","70, 77, 96, 105"
162,2/21,toxoplasma AND cat AND shedding,WoS,"Biologic and genetic characteristics of Toxoplasma gondii isolates in free-range chickens from Nicaragua, Central America",2006,Nicaragua,North America,,Y,N,Y,3,1,33.33,III (#2),TgCkNi48,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401706003633,,,,,,,
418,2/28,"toxoplasma, felid, zoo",Pubmed,Isolation of Toxoplasma gondii from horse meat in Egypt,2007,Egypt,Africa,,Y,N,N,3,3,100.00,,,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/19070010,,,,,,,
379,2/28,"toxoplasma, felid, genotype",Pubmed,Genetic characterization of Toxoplasma gondii isolates in dogs from Vietnam suggests their South American origin,2007,Vietnam,Asia,,Y,N,Y,8,8,100.00,"#9, #18",TgDgVi1-8,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401707001380?via%3Dihub,,,,,,,
181,2/21,toxoplasma AND cat AND shedding,WoS,Isolation and genetic characterization of Toxoplasma gondii from striped dolphin (Stenelia coeruleoalba) from Costa Rica,2007,Costa Rica,North America,,Y,N,Y,1,1,100.00,II,TgSdCo1,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-93/issue-3/GE-1120R.1/Isolation-and-Genetic-Characterization-of-Toxoplasma-gondii-From-Striped-Dolphin/10.1645/GE-1120R.1.full,,,,,,,
375,2/28,"toxoplasma, felid, genotype",Pubmed,"Characterization of Toxoplasma gondii from raccoons (Procyon lotor), coyotes (Canis latrans), and striped skunks (Mephitis mephitis) in Wisconsin identified several atypical genotypes",2007,USA,North America,,Y,N,Y,7,2,28.57,"II (#1), #32","TgRaW 1, 2",,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-93/issue-6/GE-1245.1/Characterization-of-Toxoplasma-gondii-from-Raccoons-Procyon-lotor-Coyotes-Canis/10.1645/GE-1245.1.full,,,,,,,
56,2/16,toxoplasma AND cat AND shedding,Pubmed,"Prevalence of Toxoplasma gondii in dogs from Colombia, South America and genetic characterization of T. gondii isolates",2007,Colombia,South America,,Y,N,Y,4,4,100.00,"#29 #18, #9",TgDgCo1-4,0.5,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401706006716?via%3Dihub,,,,,,"29, 18, 9","6,7, 25, 28, 30"
156,2/21,toxoplasma AND cat AND shedding,WoS,"Biologic and genetic comparison of Toxoplasma gondii isolates in free-range chickens from the northern Para state and the southern state Rio Grande do Sul, Brazil revealed highly diverse and distinct parasite populations",2007,Brazil,South America,,Y,N,Y,2,1,50.00,"III (#2), #6, 7, 25, 28, 29, 30, 70, 77, 96, 105","TgCkBr164, TgCkBr 107–116, 141–145",,Y,Cat bioassay,N,164,https://www.sciencedirect.com/science/article/pii/S0304401706004687,,,,,,,
357,2/28,"toxoplasma, felid, genotype",Pubmed,"Seroprevalence and isolation of Toxoplasma gondii from free-range chickens in Ghana, Indonesia, Italy, Poland, and Vietnam",2008,"Ghana, Indonesia, Poland, Vietnam, Italy","Asia, Europe, Africa",,Y,N,Y,16,2,12.50,"II (#1), unknown","TgCkIt3, TgCkVn1",,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-94/issue-1/GE-1362.1/Seroprevalence-and-Isolation-of-Toxoplasma-gondii-from-Free-Range-Chickens/10.1645/GE-1362.1.full,,,,,,,
125,2/21,toxoplasma AND cat AND shedding,WoS,First isolate of Toxoplasma gondii from arctic fox (Vulpes lagopus) from Svalbard,2008,Norway,Europe,,Y,N,Y,2,2,100.00,II,ME49,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401707006073,,,,,,,
66,2/16,toxoplasma AND cat AND shedding,Pubmed,High prevalence and abundant atypical genotypes of Toxoplasma gondii isolated from lambs destined for human consumption in the USA,2008,USA,North America,,Y,N,Y,51,35,68.63,"II (#1), III (#2), II variant (#3), #4 (type 12), #9, #54, #72, #73, #131",TgShUs1-36,0.5,Y,Cat bioassay,N,numbers not adding up?,https://www.sciencedirect.com/science/article/pii/S0020751907004328?via%3Dihub,,,,,,131,"113, 249, 59"
169,2/21,toxoplasma AND cat AND shedding,WoS,Endemic toxoplasmosis in pigs on a farm in Maryland: Isolation and genetic characterization of Toxoplasma gondii,2008,USA,North America,,Y,N,Y,16,11,68.75,"II (#1), #113",TgPgUs1-11,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-94/issue-1/GE-1312.1/Endemic-Toxoplasmosis-in-Pigs-on-a-Farm-in-Maryland/10.1645/GE-1312.1.full,,,,,,,
381,2/28,"toxoplasma, felid, genotype",Pubmed,"Toxoplasmosis in wallabies (Macropus rufogriseus and Macropus eugenii): blindness, treatment with atovaquone, and isolation of Toxoplasma gondii",2008,USA,North America,,Y,N,Y,1,1,100.00,III (#2),Tg WyUs 1,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-94/issue-4/GE-1448.1/Toxoplasmosis-in-Wallabies-Macropus-rufogriseus-and-Macropus-eugenii--Blindness/10.1645/GE-1448.1.full,,,,,,,
415,2/28,"toxoplasma, felid, zoo",Pubmed,Toxoplasmosis in captive dolphins (Tursiops truncatus) and walrus (Odobenus rosmarus),2009,Canada,North America,,Y,N,Y,2,2,100.00,#3 (II variant),TgDoCA1,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4175520/,,,,,,,
921,3/10,"toxoplasma, transmission, felid",Pubmed,Infectivity of Toxoplasma gondii in northern traditional (country) foods prepared with meat from experimentally infected seals,2009,Canada,North America,,Y,N,N,15,2,13.33,,,4,Y,Cat bioassay,N,,https://watermark.silverchair.com/0362-028x-72_8_1756.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAoQwggKABgkqhkiG9w0BBwagggJxMIICbQIBADCCAmYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMTKP1_R-no22Yt924AgEQgIICN8vB5Wyabdsv8HR0MFh8X0y6icRnocTEBYQjpCYkikgb7KZyYz_nEjvvymbDTfeDorjYNdl8x_Za2S9Rf0QquVbVO-Gswn-FQJLpQW9SdebBPoGgsyXjzgkqG8EG7kCZE4rHJUMD8TUv03zy8eKGKwUE0Bkr4VL_xAnPvMy_IiWR8UrfwwQXgzgi1S5iGOxmR2HN99x_FBo8_fYQ2c-oWz2R3EKBpC54pcqxvL3CWQvHD92JPUPDuovNfJ1GVS4kZqsqg2S3NBkSWVCnrkO7wW-MVLUtOBVviuYp6fMu9iHNyNyMvoxaaTwf-pBCOg-zpFZJm4Kbb-mpG2AKTXPSwpLBaXuG0JaDM5HzoaMA8ddY32LIpL3tZR8THiYxgJgEPB6UWaIxogtgsgGZ2rnmbVOlM58HTABgpZaDijMzE3hCUUdW995cJcSEqVcvcS3N8bCKzGp76gwwxw5OpVtZIytByvbKNfujisXT7R-Q_LHTyq8IBGsSwvQCpGlLZZvGO0rUhOgpr2AodVG14FHG9zmyc5Veu-oI7W4ntSYot-t2L2C6Ry3IdW1hVm_WzsBhyUgOT97EaJc3JmM60FV4aooKvLyFOSMbeRM_z94IZkQG567K7QIuh_rNeGcMvOGWFp0SRMfMs2l1LJPUQnWd2XndnR5tkOdEq6aNM_h7siRHCrY0B6lODGOpm79qzXtLoxA2ol6RlHS1fP6GZNVOFyX2lgDyABODk0bDs_RP5Y78Lzz5o4e_ug,,,,,,,
115,2/21,toxoplasma AND cat AND shedding,WoS,Isolation of Toxoplasma gondii From the Keel-Billed Toucan (Ramphastos sulfuratus) From Costa Rica,2009,Costa Rica,South America,,Y,N,Y,1,1,100.00,#52,TgRsCr1,,Y,Cat bioassay,N,"case study, tissues fed to cat that shed oocysts",https://bioone.org/journals/Journal-of-Parasitology/volume-95/issue-2/GE-1846.1/Isolation-of-Toxoplasma-gondii-from-the-Keel-Billed-Toucan-Ramphastos/10.1645/GE-1846.1.full?casa_token=VQ6vHRYJVbAAAAAA%3a0ZF_3zg3H9QRftV8EgECKCLHaLLZWVZ3lePVvkby-g97dyDDmGVaKIvFJdjf7CdTHzOD6DeSuA,,,,,,,
153,2/21,toxoplasma AND cat AND shedding,WoS,A NEW ATYPICAL HIGHLY MOUSE VIRULENT TOXOPLASMA GONDII GENOTYPE ISOLATED FROM A WILD BLACK BEAR IN ALASKA,2010,USA,North America,,Y,N,Y,5,3,60.00,#147,TgBbUS1,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-96/issue-4/GE-2429.1/A-New-Atypical-Highly-Mouse-Virulent-Toxoplasma-gondii-Genotype-Isolated/10.1645/GE-2429.1.full,,,,,,,
350,2/28,"toxoplasma, felid, genotype",Pubmed,"New Toxoplasma gondii genotypes isolated from free-range chickens from the Fernando de Noronha, Brazil: unexpected findings",2010,Brazil,South America,,Y,N,Y,1,1,100.00,ToxoDB#59,TgCkBr233,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-96/issue-4/GE-2425.1/New-Toxoplasma-gondii-Genotypes-Isolated-from-Free-Range-Chickens-from/10.1645/GE-2425.1.full,,,,,,,
369,2/28,"toxoplasma, felid, genotype",Pubmed,Multi-locus DNA sequencing of Toxoplasma gondii isolated from Brazilian pigs identifies genetically divergent strains,2011,Brazil,South America,,Y,N,Y,5,5,100.00,"#1, #2, #4, III",TgPgBr1-5,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401710005418,,,,,,,
374,2/28,"toxoplasma, felid, genotype",Pubmed,Isolation of viable Toxoplasma gondii from feral guinea fowl (Numida meleagris) and domestic rabbits (Oryctolagus cuniculus) from Brazil,2011,Brazil,South America,,Y,N,Y,6,5,83.33,"BrII, III","TgCatBr1, TgCatBr5",,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/21506805,,,,,,,
18,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection and survival of Toxoplasma gondii in milk and cheese from experimentally infected goats,2014,USA,North America,,Y,N,N,4,1,25.00,ToxoDB #167,TgGoatUS26,1,Y,Cat bioassay,N,,https://meridian.allenpress.com/jfp/article-lookup/doi/10.4315/0362-028X.JFP-14-167,,,,,,,
146,2/21,toxoplasma AND cat AND shedding,WoS,"Toxoplasmosis in sentinel chickens (Gallus domesticus) in New England farms: Seroconversion, distribution of tissue cysts in brain, heart, and skeletal muscle by bioassay in mice and cats",2015,USA,North America,,Y,N,Y,29,23,79.31,,,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0304401715300133,,,,,,,
276,2/24,"toxoplasma, felid, genotype",Pubmed,"Toxoplasma gondii isolates from mouflon sheep (Ovis ammon) from Hawaii, USA",2015,USA,North America,,Y,N,Y,2,2,100.00,"III, ToxoDB #249","TgMouflonUS1, TgMouflonUS2",,Y,Cat bioassay,N,,https://onlinelibrary.wiley.com/doi/full/10.1111/jeu.12151,,,,,,,
298,2/25,"toxoplasma, felid, genotype",Pubmed,Toxoplasmosis in geese and detection of two new atypical Toxoplasma gondii strains from naturally infected Canada geese (Branta canadensis),2016,USA,North America,,Y,N,Y,2,2,100.00,"III (ToxoDB #2), #1","TgGooseUS6, 9",,Y,Cat bioassay,N,,https://link.springer.com/article/10.1007/s00436-016-4914-8,,,,,,,
963,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Validation of the modified agglutination test for the detection of Toxoplasma gondii in free-range chickens by using cat and mouse bioassay,2016,USA,North America,,Y,N,N,29,6,20.69,,,,Y,Cat bioassay,N,,https://www.cambridge.org/core/product/identifier/S0031182015001316/type/journal_article,,,,,,,
285,2/24,"toxoplasma, felid, genotype",WoS,"Antibody Detection, Isolation, Genotyping, and Virulence of Toxoplasma gondii in Captive Felids from China",2017,China,Asia,,Y,N,Y,,,,ToxoDB#9,TgcatHn4,,Y,Cat bioassay,N,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01414/full,,,,,,,
951,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Toxoplasma gondii tissue cyst formation and density of tissue cysts in shoulders of pigs 7 and 14 days after feeding infected mice tissues,2019,USA,North America,,Y,N,N,4,4,100.00,III,VEG,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/abs/pii/S0304401719300780?via%3Dihub,,,,,,,
1014,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Significance of Toxoplasma oocysts in the spreading of infection among domestic cats kept for experimental purposes,1972,Germany,Europe,German,Y,N,Y,12,10,83.33,,,3,Y,Domestic-Domestic,N,,https://www.cabdirect.org/cabdirect/abstract/19732900376,,,,,,,
1017,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Toxoplasma-oocysts in the feces of naturally infected cats,1972,Germany,Europe,German,Y,N,Y,502,5,1.00,,,,Y,Domestic-Domestic,N,free range?,https://www.ncbi.nlm.nih.gov/pubmed/5011179,,,,,,,
1010,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of Sarcocystis infection and other intestinal parasitisms in cats from a humane shelter in Ohio,1976,USA,North America,,Y,N,Y,1000,10,1.00,,,,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/815229,,,,,,,
950,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Characterization of Toxoplasma gondii from the feces of naturally infected cats,1977,USA,North America,,Y,N,Y,1000,7,0.70,,,12,Y,Domestic-Domestic,N,,https://www.jstor.org/stable/30107191?seq=1#metadata_info_tab_contents,,,,,,,
943,3/10,"toxoplasma, transmission, felid",Pubmed,Prevalence of Toxoplasma gondii antibodies and oocysts in pound-source cats,1982,USA,North America,,Y,N,N,87,14,16.09,,,,Y,Domestic-Domestic,N,,https://europepmc.org/article/med/7096176,,,,,,,
534,3/8,"toxoplasma, felid, species",Pubmed,Prevalence of protozoans helminths among cats purchased for experimental use in the Kanto Area,1983,Japan,Asia,,Y,N,N,171,0,0.00,,,,Y,Domestic-Domestic,N,,https://europepmc.org/article/med/6653679,,,,,,,
929,3/10,"toxoplasma, transmission, felid",Pubmed,Neonatal toxoplasmosis in kittens,1985,Czech Republic,Europe,Czech,Y,N,Y,4,3,75.00,,,1,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/3929452,,,,,,,
1073,4/6,,Reference search,"Prevalence of chlamydia, toxoplasma, toxocara and ringworm in farm cats in south-west England.",1987,UK,Europe,,Y,N,N,51,0,0,,,,Y,Domestic-Domestic,N,,https://europepmc.org/article/med/3672827,,,,,,,
1009,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Diagnosis and prevention of feline toxoplasmosis,1988,Germany,Europe,,Y,N,N,620,8,1.29,,,48,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/3130678,,,,,,,
33,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma gondii infections and oocyst shedding in domestic cats and the significance of this for the epidemiology and epizootiology of toxoplasmosis,1989,Germany,Europe,,Y,N,N,267,3,1.12,,,24,Y,Domestic-Domestic,N,40% of kittens shed,https://www.ncbi.nlm.nih.gov/pubmed/2782669,,,,,,,
1069,4/6,,Reference search,Studie kokcidii u kocek v oblasti Calabar v Nigerii,1990,Nigeria,Africa,Afrikaans,Y,N,N,52,0,0,,,,Y,Domestic-Domestic,N,,,,,,,,,
1065,4/6,,Reference search,"Feline immunodeficiency virus, feline leukaemia virus, Toxoplasma gondii, and intestinal parasitic infections in Taiwanese cats",1990,Taiwan,Asia,,Y,N,N,96,0,0,,,,Y,Domestic-Domestic,N,,https://www.sciencedirect.com/science/article/pii/0007193590900374,,,,,,,
15,2/16,toxoplasma AND cat AND shedding,Pubmed,Acute primary toxoplasmic hepatitis in an adult cat shedding Toxoplasma gondii oocysts,1990,USA,North America,,Y,N,N,1,1,100.00,,,0.16,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/2276958,,,,,,,
588,3/8,"toxoplasma, felid, species",Pubmed,Fauna and incidence of endoparasites in kittens and their mothers from different husbandry situations in south Germany,1992,Germany,Europe,German,Y,N,N,,,17.1,,,,Y,Domestic-Domestic,N,"100 litters, unknown sample size",https://www.ncbi.nlm.nih.gov/pubmed/1496526,,,,,,,
205,2/21,toxoplasma AND felid AND shedding,Pubmed,Epidemiologic studies on human and feline toxoplasmosis,1992,USA,North America,,Y,N,N,107,7,6.54,,,,Y,Domestic-Domestic,N,"T. gondii-like, not confirmed",https://www.ncbi.nlm.nih.gov/pubmed/1619292,,,,,,,
1063,3/31,,Reference search,Diagnostico de toxoplasmosis durante el periodo patente en un gato domestico,1992,Argentina,South America,Spanish,Y,N,Y,50,1,2,,,,Y,Domestic-Domestic,N,,,,,,,,,
1068,4/6,,Reference search,Feline toxoplasmosis in Singapore,1993,Singapore,Asia,,Y,N,N,722,0,0,,,,Y,Domestic-Domestic,N,,,,,,,,,
